directory,filename,nrVertices,nrFaces,avgX,avgY,AvgZ,minX,maxX,minY,maxY,minZ,maxZ
0,m0,298,492,-0.349949,-0.449629,-0.037678,-1,0.300103,-1,0.100086,-1,1
0,m1,255,410,-0.575368,-0.617203,0.132116,-1,-0.158200,-1,-0.242432,-1,1
0,m10,1362,2628,-0.173871,-0.005146,-0.792782,-1,0.829703,-1,1,-1,-0.584341
0,m11,368,724,-0.084839,-0.471579,-0.918305,-1,1,-1,0.019200,-1,-0.840080
0,m12,278,500,-0.009120,-0.684364,-0.360339,-1,1,-1,-0.257802,-1,0.133625
0,m13,491,1125,-0.599980,-0.787648,-0.001269,-1,0.112185,-1,-0.678916,-1,1
0,m14,891,1681,0.092723,-0.366595,-0.292902,-1,1,-1,0.454608,-1,0.575947
0,m15,368,724,-0.133948,-0.600545,-0.531810,-1,1,-1,-0.174897,-1,0.008088
0,m16,2666,5162,-0.151997,-0.825648,-0.271704,-1,1,-1,-0.483924,-1,0.460347
0,m17,1548,3000,-0.000000,-0.604531,-0.264901,-1,1,-1,-0.434059,-1,0.325728
0,m18,4250,8324,-0.005744,-0.651192,-0.220004,-1,1,-1,-0.160185,-1,0.603543
0,m19,3339,5490,-0.003164,-0.637985,-0.346567,-1,1,-1,-0.323141,-1,0.285714
0,m2,3495,6667,-0.375261,-0.446206,0.089380,-1,0.245958,-1,0.032512,-1,1
0,m20,1624,3042,-0.067854,-0.576339,-0.075943,-1,1,-1,-0.171040,-1,0.902720
0,m21,346,556,-0.000000,-0.408463,-0.253239,-1,1,-1,0.050806,-1,0.691063
0,m22,333,620,-0.000000,-0.448536,-0.582695,-1,1,-1,-0.150000,-1,0.387499
0,m23,462,878,-0.519298,-0.513408,0.125764,-1,-0.051303,-1,-0.155924,-1,1
0,m24,163,284,-0.000307,-0.560506,-0.260276,-1,1,-1,-0.150000,-1,0.750000
0,m25,1249,2494,-0.165677,-0.408992,-0.124926,-1,0.668364,-1,0.005057,-1,1
0,m26,5266,10274,-0.140976,-0.487252,0.024516,-1,0.727941,-1,-0.158288,-1,1
0,m27,341,1024,-0.045768,0.066993,0.191982,-1,0.895114,-1,0.855678,-1,1
0,m28,6076,11660,-0.535958,-0.564467,0.084643,-1,-0.065935,-1,0.164682,-1,1
0,m29,2972,5878,-0.661381,-0.018788,0.553969,-1,-0.322657,-1,0.873015,-1,1
0,m3,486,912,-0.043390,-0.404802,0.179313,-1,0.908223,-1,0.118594,-1,1
0,m30,390,800,-0.648379,-0.573313,0.342328,-1,-0.295895,-1,0.052103,-1,1
0,m31,1802,3548,-0.498982,-0.118198,-0.336611,-1,0.001783,-1,1,-1,0.030712
0,m32,1129,2246,-0.623879,-0.371099,0.349694,-1,-0.246796,-1,0.333333,-1,1
0,m33,3144,6164,-0.456579,-0.469863,0.301173,-1,0.087364,-1,0.405170,-1,1
0,m34,233,462,-0.000014,-0.745083,-0.434387,-1,1,-1,-0.511255,-1,0.093248
0,m35,699,1394,-0.309532,-0.438384,-0.015546,-1,0.615522,-1,0.286484,-1,1
0,m36,1289,2531,0.087277,-0.638198,0.104990,-1,0.935876,-1,0.650362,-1,1
0,m37,567,1130,-0.000548,-0.616901,-0.108136,-1,1,-1,-0.132088,-1,0.518322
0,m38,464,930,-0.000000,-0.712915,-0.804581,-1,1,-1,-0.503829,-1,-0.436613
0,m39,649,1156,-0.353728,-0.000000,-0.720190,-1,0.807524,-1,1,-1,-0.506196
0,m4,4346,8216,-0.435833,-0.013302,-0.700374,-1,0.119463,-1,1,-1,-0.353168
0,m40,2684,5390,-0.000367,-0.729296,-0.646409,-1,1,-1,-0.452958,-1,-0.320255
0,m41,1824,3709,-0.000743,-0.828789,-0.440911,-1,1,-1,-0.742634,-1,-0.067966
0,m42,116,265,0.032030,-0.805199,-0.566469,-1,1,-1,-0.610297,-1,-0.006225
0,m43,41,60,-0.257984,-0.091785,-0.297983,-1,0.899171,-1,0.223507,-1,1
0,m44,401,798,-0.000000,-0.540866,-0.747517,-1,1,-1,-0.086667,-1,-0.492000
0,m45,16542,33072,0.002425,-0.688390,-0.695229,-1,1,-1,-0.441373,-1,-0.028558
0,m46,576,1094,0.001266,-0.475094,0.074057,-1,1,-1,-0.374503,-1,0.431318
0,m47,101,165,-0.078494,-0.834183,0.000794,-1,0.412217,-1,-0.740728,-1,1
0,m48,427,824,-0.511561,-0.561608,0.198020,-1,-0.025211,-1,-0.092436,-1,1
0,m49,2329,4372,-0.491213,0.001533,-0.305874,-1,1,-1,0.633667,-1,0.402318
0,m5,4710,8773,-0.393120,-0.437849,0.072212,-1,0.255385,-1,-0.103402,-1,1
0,m50,93,182,-0.598914,-0.350784,0.186780,-1,-0.197794,-1,0.135333,-1,1
0,m51,309,598,0.322622,-0.297400,-0.446346,-1,1,-1,-0.042771,-1,0.108817
0,m52,294,578,-0.052097,-0.281172,0.112999,-1,1,-1,0.254036,-1,0.863059
0,m53,18409,35270,-0.839951,-0.696538,0.346090,-1,-0.708693,-1,-0.318398,-1,1
0,m54,18143,34598,-0.744324,-0.688238,0.305354,-1,-0.516002,-1,-0.271278,-1,1
0,m55,19505,37531,-0.857378,-0.679142,0.386795,-1,-0.670505,-1,-0.252324,-1,1
0,m56,5814,10950,-0.848085,-0.693261,0.448898,-1,-0.696935,-1,-0.279049,-1,1
0,m57,18878,36468,-0.874209,-0.655710,0.356254,-1,-0.749552,-1,-0.232752,-1,1
0,m58,477,950,-0.471550,-0.564979,-0.016258,-1,0.077998,-1,0.000444,-1,1
0,m59,44,1680,-0.789474,-0.789474,0.025837,-1,-0.578947,-1,-0.578947,-1,1
0,m6,9184,17998,-0.323023,-0.145835,0.201530,-1,0.353994,-1,0.425743,-1,1
0,m60,1606,3208,-0.659268,-0.633771,0.312883,-1,-0.318581,-1,-0.194368,-1,1
0,m61,216,338,-0.824149,-0.612026,0.211289,-1,-0.658042,-1,-0.119166,-1,1
