directory,filename,nrVertices,nrFaces,avgX,avgY,AvgZ,minX,maxX,minY,maxY,minZ,maxZ
0,m0,20002,20196,0.000000,0.000000,0.000000,-0.417993,0.582007,-0.299841,0.299022,-0.149187,0.281199
0,m1,20001,20156,0.000000,0.000000,0.000000,-0.423335,0.576665,-0.207515,0.215646,-0.192298,0.180247
0,m10,20001,21267,0.000000,0.000000,0.000000,-0.498964,0.501036,-0.441881,0.479607,-0.060361,0.130291
0,m11,20000,20356,0.000000,0.000000,0.000000,-0.499066,0.500934,-0.247527,0.281001,-0.037345,0.041079
0,m12,20000,20214,0.000000,0.000000,0.000000,-0.494149,0.505851,-0.280414,0.298514,-0.173014,0.203887
0,m13,20000,20383,0.000000,0.000000,0.000000,-0.517631,0.482369,-0.265837,0.306018,-0.067511,0.138449
0,m14,20001,20787,0.000000,0.000000,0.000000,-0.494008,0.505992,-0.390790,0.398216,-0.108076,0.188087
0,m15,20000,20356,0.000000,0.000000,0.000000,-0.501090,0.498910,-0.246741,0.280983,-0.037570,0.040881
0,m16,20000,22496,0.000000,0.000000,0.000000,-0.386484,0.613516,-0.353221,0.366399,-0.112276,0.124609
0,m17,20001,21433,0.000000,0.000000,0.000000,-0.501836,0.498164,-0.320326,0.348309,-0.153809,0.133515
0,m18,20000,19909,0.000000,0.000000,0.000000,-0.336658,0.558185,-0.480488,0.519512,-0.193973,0.219023
0,m19,20001,20399,0.000000,0.000000,0.000000,-0.496439,0.503561,-0.328453,0.320278,-0.149010,0.203645
0,m2,20001,23173,0.000000,0.000000,0.000000,-0.420486,0.579514,-0.288670,0.290882,-0.144548,0.266907
0,m20,20002,21408,0.000000,0.000000,0.000000,-0.464190,0.535810,-0.449075,0.524593,-0.170313,0.273829
0,m21,20002,20208,0.000000,0.000000,0.000000,-0.498490,0.501510,-0.371265,0.465025,-0.388447,0.252187
0,m22,20001,20284,0.000000,0.000000,0.000000,-0.499235,0.500765,-0.301299,0.408543,-0.267500,0.164463
0,m23,20001,20415,0.000000,0.000000,0.000000,-0.393738,0.606262,-0.239691,0.245267,-0.228242,0.165351
0,m24,20002,20119,0.000000,0.000000,0.000000,-0.455159,0.438462,-0.498753,0.501247,-0.157107,0.265828
0,m25,20002,21243,0.000000,0.000000,0.000000,-0.433753,0.566247,-0.418934,0.419517,-0.193066,0.388699
0,m26,20002,25010,0.000000,0.000000,0.000000,-0.450539,0.549461,-0.443030,0.422926,-0.242755,0.178372
0,m27,20000,20168,0.000000,0.000000,0.000000,-0.473204,0.526796,-0.298209,0.413017,-0.355913,0.388453
0,m28,20002,25550,0.000000,0.000000,0.000000,-0.487463,0.512537,-0.198779,0.314605,-0.213682,0.215115
0,m29,20000,22906,0.000000,0.000000,0.000000,-0.378986,0.621014,-0.115303,0.253985,-0.126742,0.126769
0,m3,20001,20427,0.000000,0.000000,0.000000,-0.534043,0.465957,-0.463411,0.476982,-0.213012,0.297828
0,m30,20001,20283,0.000000,0.000000,0.000000,-0.464885,0.535115,-0.182775,0.211281,-0.164720,0.165627
0,m31,20000,21746,0.000000,0.000000,0.000000,-0.475906,0.524094,-0.253372,0.253454,-0.178811,0.261391
0,m32,20002,21119,0.000000,0.000000,0.000000,-0.424911,0.575089,-0.154040,0.335996,-0.163357,0.163287
0,m33,20001,23021,0.000000,0.000000,0.000000,-0.447075,0.552925,-0.211192,0.411433,-0.268422,0.265554
0,m34,20000,20229,0.000000,0.000000,0.000000,-0.498704,0.501297,-0.284711,0.264584,-0.112461,0.128131
0,m35,20001,20696,0.000000,0.000000,0.000000,-0.393525,0.506936,-0.525584,0.474416,-0.340928,0.342152
0,m36,20000,21214,0.000000,0.000000,0.000000,-0.471428,0.508547,-0.445624,0.554376,-0.519109,0.323754
0,m37,20001,20564,0.000000,0.000000,0.000000,-0.500408,0.499592,-0.293360,0.433175,-0.185840,0.218956
0,m38,20000,20460,0.000000,0.000000,0.000000,-0.499166,0.500834,-0.184474,0.166622,-0.031560,0.100195
0,m39,20002,20495,0.000000,0.000000,0.000000,-0.407055,0.541703,-0.548107,0.451893,-0.074798,0.174410
0,m4,20000,20778,0.000000,0.000000,0.000000,-0.417855,0.582145,-0.274499,0.268140,-0.091509,0.208321
0,m40,20000,22583,0.000000,0.000000,0.000000,-0.499479,0.500521,-0.111427,0.181465,-0.095952,0.161869
0,m41,20001,21763,0.000000,0.000000,0.000000,-0.499573,0.500427,-0.183264,0.278798,-0.038731,0.094187
0,m42,20000,20089,0.000000,0.000000,0.000000,-0.513997,0.486003,-0.221761,0.272848,-0.035354,0.158683
0,m43,20000,20012,0.000000,0.000000,0.000000,-0.500419,0.499581,-0.346586,0.505531,-0.149938,0.211065
0,m44,20000,20397,0.000000,0.000000,0.000000,-0.499927,0.500074,-0.230015,0.231200,-0.109400,0.132121
0,m45,20001,36531,0.000000,0.000000,0.000000,-0.498752,0.501248,-0.157020,0.307064,-0.091661,0.143467
0,m46,20001,20511,0.000000,0.000000,0.000000,-0.494579,0.505421,-0.291698,0.423555,-0.072315,0.250808
0,m47,20000,20064,0.000000,0.000000,0.000000,-0.503315,0.496685,-0.294034,0.411133,-0.044723,0.085973
0,m48,20002,20397,0.000000,0.000000,0.000000,-0.448577,0.551423,-0.240196,0.243668,-0.229459,0.224215
0,m49,20002,22026,0.000000,0.000000,0.000000,-0.481997,0.518003,-0.343060,0.427151,-0.334626,0.335420
0,m5,20001,23755,0.000000,0.000000,0.000000,-0.394129,0.605871,-0.299515,0.322307,-0.146344,0.331541
0,m50,20001,20090,0.000000,0.000000,0.000000,-0.426986,0.573014,-0.293116,0.279204,-0.205272,0.209506
0,m51,20001,20290,0.000000,0.000000,0.000000,-0.397901,0.602099,-0.272617,0.272702,-0.188021,0.207690
0,m52,20001,20267,0.000000,0.000000,0.000000,-0.456483,0.536304,-0.458818,0.541182,-0.298330,0.284846
0,m53,20002,36863,0.000000,0.000000,0.000000,-0.347032,0.652968,-0.161075,0.178445,-0.050829,0.076947
0,m54,20000,36455,0.000000,0.000000,0.000000,-0.353544,0.646456,-0.157836,0.208098,-0.078890,0.111250
